SIG_CD,SIG_ENG_NM,SIG_KOR_NM
41117,"Yeongtong-gu, Suwon-si",수원시 영통구
41131,"Sujeong-gu, Seongnam-si",성남시 수정구
41133,"Jungwon-gu, Seongnam-si",성남시 중원구
41135,"Bundang-gu, Seongnam-si",성남시 분당구
41150,Uijeongbu-si,의정부시
41171,"Manan-gu, Anyang-si",안양시만안구
41173,"Dongan-gu, Anyang-si",안양시동안구
41190,Bucheon-si,부천시
41210,Gwangmyeong-si,광명시
41220,Pyeongtaek-si,평택시
41250,Dongducheon-si,동두천시
41271,"Sangnok-gu, Ansan-si",안산시상록구
41273,"Danwon-gu, Ansan-si",안산시단원구
41281,"Deogyang-gu, Goyang-si",고양시덕양구
41285,"Ilsandong-gu, Goyang-si",고양시일산동구
41287,"Ilsanseo-gu, Goyang-si",고양시일산서구
41290,Gwacheon-si,과천시
41310,Guri-si,구리시
41360,Namyangju-si,남양주시
41370,Osan-si,오산시
41390,Siheung-si,시흥시
41410,Gunpo-si,군포시
41430,Uiwang-si,의왕시
41450,Hanam-si,하남시
41461,"Cheoin-gu, Yongin-si",용인시처인구
41463,"Giheung-gu, Yongin-si",용인시기흥구
41465,"Suji-gu, Yongin-si",용인시수지구
41480,Paju-si,파주시
41500,Icheon-si,이천시
41550,Anseong-si,안성시
41570,Gimpo-si,김포시
41590,Hwaseong-si,화성시
41610,Gwangju-si,광주시
41630,Yangju-si,양주시
41650,Pocheon-si,포천시
41670,Yeoju-si,여주시
41800,Yeoncheon-gun,연천군
41820,Gapyeong-gun,가평군
41830,Yangpyeong-gun,양평군
42110,Chuncheon-si,춘천시
42130,Wonju-si,원주시
42150,Gangneung-si,강릉시
42170,Donghae-si,동해시
42190,Taebaek-si,태백시
42210,Sokcho-si,속초시
42230,Samcheok-si,삼척시
42720,Hongcheon-gun,홍천군
42730,Hoengseong-gun,횡성군
42750,Yeongwol-gun,영월군
42760,Pyeongchang-gun,평창군
42770,Jeongseon-gun,정선군
42780,Cheorwon-gun,철원군
42790,Hwacheon-gun,화천군
42800,Yanggu-gun,양구군
42810,Inje-gun,인제군
42820,Goseong-gun,고성군
42830,Yangyang-gun,양양군
43111,"Sangdang-gu, Cheongju-si",청주시 상당구
43112,"Seowon-gu, Cheongju-si",청주시 서원구
43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구
43114,"Cheongwon-gu, Cheongju-si",청주시 청원구
43130,Chungju-si,충주시
43150,Jecheon-si,제천시
43720,Boeun-gun,보은군
43730,Okcheon-gun,옥천군
43740,Yeongdong-gun,영동군
43745,Jeungpyeong-gun,증평군
43750,Jincheon-gun,진천군
43760,Goesan-gun,괴산군
43770,Eumseong-gun,음성군
43800,Danyang-gun,단양군
44131,"Dongnam-gu, Cheonan-si",천안시동남구
44133,"Seobuk-gu, Cheonan-si",천안시서북구
44150,Gongju-si,공주시
44180,Boryeong-si,보령시
44200,Asan-si,아산시
44210,Seosan-si,서산시
44230,Nonsan-si,논산시
44250,Gyeryong-si,계룡시
44270,Dangjin-si,당진시
44710,Geumsan-gun,금산군
44760,Buyeo-gun,부여군
44770,Seocheon-gun,서천군
44790,Cheongyang-gun,청양군
44800,Hongseong-gun,홍성군
44810,Yesan-gun,예산군
44825,Taean-gun,태안군
45111,"Wansan-gu, Jeonju-si",전주시완산구
45113,"Deokjin-gu, Jeonju-si",전주시덕진구
45130,Gunsan-si,군산시
45140,Iksan-si,익산시
45180,Jeongeup-si,정읍시
45190,Namwon-si,남원시
45210,Gimje-si,김제시
45710,Wanju-gun,완주군
45720,Jinan-gun,진안군
45730,Muju-gun,무주군
45740,Jangsu-gun,장수군
45750,Imsil-gun,임실군
45770,Sunchang-gun,순창군
45790,Gochang-gun,고창군
45800,Buan-gun,부안군
46110,Mokpo-si,목포시
46130,Yeosu-si,여수시
46150,Suncheon-si,순천시
46170,Naju-si,나주시
46230,Gwangyang-si,광양시
46710,Damyang-gun,담양군
46720,Gokseong-gun,곡성군
46730,Gurye-gun,구례군
46770,Goheung-gun,고흥군
46780,Boseong-gun,보성군
46790,Hwasun-gun,화순군
46800,Jangheung-gun,장흥군
46810,Gangjin-gun,강진군
46820,Haenam-gun,해남군
46830,Yeongam-gun,영암군
46840,Muan-gun,무안군
46860,Hampyeong-gun,함평군
46870,Yeonggwang-gun,영광군
46880,Jangseong-gun,장성군
46890,Wando-gun,완도군
46900,Jindo-gun,진도군
46910,Sinan-gun,신안군
47111,"Nam-gu, Pohang-si",포항시 남구
47113,"Buk-gu, Pohang-si",포항시 북구
47130,Gyeongju-si,경주시
47150,Gimcheon-si,김천시
47170,Andong-si,안동시
47190,Gumi-si,구미시
47210,Yeongju-si,영주시
47230,Yeongcheon-si,영천시
47250,Sangju-si,상주시
47280,Mungyeong-si,문경시
47290,Gyeongsan-si,경산시
47720,Gunwi-gun,군위군
47730,Uiseong-gun,의성군
47750,Cheongsong-gun,청송군
47760,Yeongyang-gun,영양군
47770,Yeongdeok-gun,영덕군
47820,Cheongdo-gun,청도군
47830,Goryeong-gun,고령군
47840,Seongju-gun,성주군
47850,Chilgok-gun,칠곡군
47900,Yecheon-gun,예천군
47920,Bonghwa-gun,봉화군
47930,Uljin-gun,울진군
47940,Ulleung-gun,울릉군
48121,"Uichang-gu, Changwon-si",창원시 의창구
48123,"Seongsan-gu, Changwon-si",창원시 성산구
48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구
48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구
48129,"Jinhae-gu, Changwon-si",창원시 진해구
48170,Jinju-si,진주시
48220,Tongyeong-si,통영시
48240,Sacheon-si,사천시
48250,Gimhae-si,김해시
48270,Miryang-si,밀양시
48310,Geoje-si,거제시
48330,Yangsan-si,양산시
48720,Uiryeong-gun,의령군
48730,Haman-gun,함안군
48740,Changnyeong-gun,창녕군
48820,Goseong-gun,고성군
48840,Namhae-gun,남해군
48850,Hadong-gun,하동군
48860,Sancheong-gun,산청군
48870,Hamyang-gun,함양군
48880,Geochang-gun,거창군
48890,Hapcheon-gun,합천군
50110,Jeju-si,제주시
50130,Seogwipo-si,서귀포시
